"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",1.91037388363057,0.780843570945214,0.828973942514828,0.408738090728339
"2","zsd_3",1.03509954600992,0.0305413884216522,1.12953613423916,0.26088772129175
"3","zskew_3",1.23958339804924,0.125406986656404,1.71262670109388,0.0893216576785792
"4","zkurt_3",1.65945708676013,0.109337368453603,4.63236402950607,9.11950690816276e-06
"5","isd_3",1.02811565478433,0.00754766373364219,3.67367523744201,0.000356317976466946
"6","p1th_3",0.952719207804895,0.0165423273365902,-2.92794708060525,0.00407209983226838
