"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",0.0361201157105393,1.59033480142492,-2.0881800133907,0.0389698138021174
"2","LAD_3",0.056139664200989,1.8458150495027,-1.56023903386174,0.121427544979371
"3","wmean_soc_1",1.02336440305815,0.00530276269857559,4.35539643720414,2.88128950346856e-05
"4","imean_3",1.04279566992265,0.00922807797385971,4.5410594525534,1.37778364985292e-05
"5","p1th_3",0.938302699506357,0.015835668115079,-4.02147065782716,0.000103300454926013
"6","classification_2023_1",0.742198180046689,0.118186242029259,-2.52262003889723,0.0130032524609798
"7","itot_3",0.999999039028458,5.27091304066414e-07,-1.82316042017339,0.0708541885470439
"8","pzabovezmean_3",0.971111856647838,0.00969207708920487,-3.02449306625456,0.00306703441664867
"9","zkurt_3",1.25095334780691,0.103660763551811,2.1599873587326,0.0328313090099915
"10","wmean_cec_1",1.02632244161548,0.0074696680200851,3.4783296776313,0.000711316333947289
"11","Seasonal_NDVI_Change_1",0.00103213243902234,1.70998507522426,-4.02116275013036,0.000103418964392024
"12","wmean_nitrogen_1",1.00182219137546,0.000515673633726423,3.5303980652186,0.00059612371174848
